x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,y
5.97,-10.5,0,4.29,14.35,-3.02,0.007684064,-0.250783572,-0.525974157,-0.674094595,-0.904737832,47.18,40.96,48.93,40.07,23.68,3.52,-6.88,0.61,-6.88,7.49,-0.54,3.32,6.98,6.98,-0.26,7.24,0
11.27,13.26,7.52,-5.38,9.67,-7.74,-0.033845485,-0.385997971,-0.67560516,-0.780511668,-0.895401507,68.71,67.33,63.25,49.15,17.05,1.31,-4.34,1.49,-4.34,5.83,11.61,4,-6,2.46,-6,8.46,0
-8.57,1.5,0,-2.24,12.01,-0.26,-0.03680754,-0.360914252,-0.6628511,-0.778987793,-0.898296909,0,66.46,61.02,47.72,16.34,1.16,-2.54,0.49,-2.54,3.03,1.48,0.92,-2.84,1.01,-2.84,3.84,0
2.69,6,0,-2.15,18.57,0.11,-0.018995954,-0.380064227,-0.662245768,-0.779813851,-0.894805595,65.32,61,56.92,47.31,16.93,1.13,-2.17,1.56,-2.17,3.73,-0.51,1.62,-2.78,2.68,-2.78,5.46,0
7.9,1.5,0,-2.37,18.2,0.3,-0.006296612,-0.388557223,-0.639097062,-0.785134914,-0.890598632,87.54,64.82,66.22,43.6,11.94,2.12,-7.1,0.34,-7.1,7.44,-2.8,1.79,-4.36,0.88,-4.36,5.24,0
1.83,30,-3,-2.46,14.29,1.74,-0.011287877,-0.364919907,-0.669217703,-0.777511918,-0.893751484,75.95,65.06,67.1,47.53,17.01,3.31,9.62,9.62,-2.47,12.09,18.06,7.27,-9.87,0.58,-9.87,10.45,0
-5.97,4.5,0,-2.31,12.62,1.47,-0.017149079,-0.368823156,-0.667053806,-0.782941657,-0.896470375,76.95,74.17,64.73,46.36,13.3,1.35,-2.96,1.85,-2.96,4.8,-0.19,1.75,-4.28,2.17,-4.28,6.45,0
55.5,-4.5,6,-1.5,22.03,-7.07,-0.027161984,-0.336186713,-0.507426105,-0.707382207,-0.887693884,94.79,41.22,61.74,41.02,22.23,2.34,6.48,6.48,-2.71,9.19,3.84,4.47,7.27,7.27,0,7.27,0
20.93,0,6,-0.9,19.01,-1.12,-0.006388659,-0.313099512,-0.539224892,-0.771536408,-0.894062414,92.39,61.43,67.16,45.69,19.44,2.72,-4.31,3.76,-4.31,8.07,4.87,2.01,5.84,5.84,-1.36,7.2,0
11.53,-7.5,6,-2.96,18.23,2.42,-0.017930366,-0.314582867,-0.513755312,-0.781834787,-0.888261388,86.83,64.9,61.98,43.01,16.06,2.86,-4.74,0.57,-4.74,5.31,1.76,2.28,6.32,6.32,-1.37,7.69,0
1.65,7.5,3,0.43,17.81,1.93,-0.000498394,-0.287499539,-0.531583416,-0.779266807,-0.889135009,83.93,68.01,64.02,41.76,14.62,2.33,3.86,3.86,-3.04,6.9,6.98,2.8,5.23,5.23,-0.41,5.65,0
10.2,3,6,-1.14,19.03,0.5,-0.005983094,-0.29589783,-0.544315146,-0.768306071,-0.889248728,84.54,65.67,64.76,43.55,16.03,3.34,-5.31,1.54,-5.31,6.85,6.12,1.42,2.82,2.82,-1.41,4.23,0
-10.4,4.5,3,0.9,18.17,2.86,0.004701129,-0.283187953,-0.542851896,-0.785731338,-0.879570287,80.97,77.04,67.11,43.76,13.75,2.51,-4.08,0.08,-4.08,4.17,3.56,2.14,-4.59,3.14,-4.59,7.73,0
3.61,7.5,3,0.87,17.26,1.35,-0.000782615,-0.283088235,-0.546793098,-0.768309552,-0.879604688,81.59,67.24,63,43.07,14.33,2.27,5.73,5.73,-2.9,8.63,4.55,3.53,5.27,5.27,-0.48,5.75,0
54.93,-6,6,-0.7,19.5,-0.17,-0.032707574,-0.347716447,-0.586420099,-0.773026992,-0.913253012,102.71,47.01,64.59,40.15,17.49,1.97,3.6,3.6,-2.81,6.4,1.74,10.46,15.61,15.61,-0.8,16.41,0
41.8,4.5,6,0.53,20.9,-4.43,-0.004860763,-0.320587744,-0.526576501,-0.735088403,-0.884473386,97.12,48.53,64.77,44.74,20.98,3.46,7.98,7.98,-3.67,11.65,9.55,3.93,7.33,7.33,-2.77,10.1,0
12,3,3,-2.54,27.31,3.5,0.011164534,-0.330250183,-0.568392959,-0.772940266,-0.892938636,72.22,52.26,64.3,56.21,32.16,3.44,6.66,6.66,-5.55,12.21,1.64,8.73,13,13,0,13,0
25.75,1.5,3,-2.23,30.61,7.28,0.015932693,-0.328124047,-0.543438942,-0.75123458,-0.88440669,67.38,39.88,56.35,53.77,34.19,3.93,7.58,7.58,-5.54,13.12,1.95,8.39,11.52,11.52,0,11.52,0
56.37,-12.71,12,-5.94,8.15,2.79,-0.024320102,-0.360612085,-0.501899453,-0.698466236,-0.890257758,77.21,27.68,47.33,23.55,10.29,1.36,-2.82,0.21,-2.82,3.03,-7.25,2.87,4.58,4.58,-0.33,4.91,0
55.47,-18.36,15,-4.79,9.14,1.61,-0.035427819,-0.359951625,-0.523609654,-0.708093976,-0.890853149,0,32.49,47.25,25.11,8.63,1.7,-3.25,0.95,-3.25,4.2,-3.85,4.69,7.32,7.32,-0.25,7.57,0
57.66,-5.82,12,-4.37,7.08,2.35,-0.016567537,-0.351745701,-0.518786724,-0.695908429,-0.889507826,88.09,27.51,48.06,20.68,8.59,3.63,-5.92,1.55,-5.92,7.46,-2.32,7.79,12.8,12.8,-0.1,12.91,0
11.9,-5.69,0,1.97,9.83,2.49,-0.001362217,-0.362425504,-0.657383407,-0.83914483,-0.906782707,89.17,48.53,53.67,23.96,-0.02,2.97,-6.1,1.23,-6.1,7.33,1.12,4.41,10.32,10.32,-1.6,11.92,0
17.64,-10.89,3,0.11,7.48,1.2,-0.007759635,-0.370936305,-0.703387026,-0.850047808,-0.908392174,89.82,47.22,51.35,24.68,1.47,2.84,-6.24,0.04,-6.24,6.28,-0.7,4.53,11.6,11.6,-1.49,13.08,0
7.76,-18,3,0.73,10.45,1.9,-0.006917031,-0.345211423,-0.630125538,-0.803264696,-0.967619759,84.51,50.12,52.53,28.48,1.71,1.96,-5.15,0.75,-5.15,5.9,-1.36,3.95,9.96,9.96,-3.84,13.8,0
16.31,-12,3,-3.22,15.26,2.95,0.020146355,-0.368344024,-0.620995573,-0.808383775,-0.957141567,102.5,44.87,56.57,24.91,0.24,2.59,-5.6,-0.26,-5.6,5.33,-3.11,3.01,7.16,7.16,-0.82,7.98,0
21.3,12,3,-2.05,10.04,0.45,-0.032105683,-0.378573407,-0.655568406,-0.823475754,-0.960417651,79.61,53.38,40.27,27.03,0.18,4.43,10.15,10.15,-5.46,15.6,22.74,5.89,-10.9,6.93,-10.9,17.82,0
11.48,7.17,3,-0.56,15.47,1.4,-0.016570455,-0.343423981,-0.653098484,-0.7982508,-0.948810683,87.22,52.12,58.42,28.29,1.54,5.06,8.85,8.85,-6.92,15.77,14.06,4.62,10.89,10.89,-6.49,17.39,0
6.99,0.57,3,2.65,6.21,1.9,0.009215916,-0.334735225,-0.64738151,-0.80482007,-0.962532914,92.2,49.74,55.95,27.26,0.13,3.37,-6.12,3.37,-6.12,9.49,-0.81,3.58,8.62,8.62,-4.07,12.68,0
-18.82,-6,3,0.91,13.37,-0.53,-0.011547794,-0.325215636,-0.643222756,-0.836347213,-0.969235401,77.94,70.09,58.3,28.49,-3.92,1.42,-3.55,2.08,-3.55,5.63,-0.7,3.08,7.34,7.34,-4.2,11.54,0
-29.99,-15,0,2.57,8.23,-0.74,-0.006993397,-0.318348368,-0.698577141,-0.867460244,-0.902297033,71.81,73.58,56.89,26.41,-3.31,2.29,-5.94,3.53,-5.94,9.48,-2.34,4.43,-7.95,7.82,-7.95,15.77,0
17.49,-18,6,-5.19,13.83,5.08,-0.006859581,-0.36890088,-0.628894884,-0.814826571,-0.957625774,94.96,48.25,57.61,27.76,-0.65,5,-9.45,-0.88,-9.45,8.57,-9.49,5.22,10.47,10.47,-3.89,14.35,0
1.82,-18,3,0.81,8.52,2.16,0.024663677,-0.336105887,-0.643859395,-0.800068711,-0.962642847,88.84,50,54.5,27.67,0.96,2.91,-7.21,0.8,-7.21,8.01,-4.04,4.16,9.75,9.75,-3.49,13.24,0
-2.08,-27,0,1.28,7.92,2.87,0.014303126,-0.331803843,-0.629803556,-0.810528391,-0.967504302,90.17,54.34,58.05,27.56,-2.48,3.67,-10.36,1.34,-10.36,11.71,-12.37,6.12,10.03,10.03,-0.49,10.52,0
0.22,-16.5,0,1.05,10.43,3.77,0.019713457,-0.342546246,-0.623141095,-0.818135655,-0.968081248,92.27,52.87,57.13,27.42,-2.08,3.75,-8.71,0.13,-8.71,8.84,-4.21,3.96,9.11,9.11,-3.54,12.65,0
-2.95,16.5,0,0.81,10.16,3.38,0.015075377,-0.341781902,-0.655907274,-0.816362836,-0.978597366,91.94,53.2,62.01,29.04,-1.66,5.31,10.18,10.18,-6.42,16.6,7.27,4.29,-9.53,8.66,-9.53,18.19,0
-2.59,-15,3,-1.49,12.33,2.38,0.020426824,-0.33293711,-0.626318966,-0.81738383,-0.962968381,93.83,53.88,58.94,27.02,-0.7,3.74,-9.04,0.19,-9.04,9.23,-5.69,5.87,12.21,12.21,-3.1,15.3,0
10.56,-13.5,3,0.92,10.25,2.92,-0.006458005,-0.360622092,-0.654293247,-0.827650878,-0.968240769,93.31,52.8,58.43,25.98,-2.75,4.44,-8.52,0.04,-8.52,8.56,-8.72,4.34,10.98,10.98,-3.42,14.41,0
-3.17,18,3,-4.78,16.93,2.43,0.014850308,-0.337405585,-0.670074434,-0.809744143,-0.96287423,88.17,52.43,60.14,25.84,-0.34,5.56,9.22,9.22,-6.74,15.97,6.8,4.29,9.73,9.73,-8.07,17.8,0
7.7,16.49,3,-6.59,17.82,5.72,0.005155997,-0.377479207,-0.68747883,-0.858793421,-0.908396372,101.38,53.89,65.5,23.84,-1.94,4.87,9.65,9.65,-7.09,16.74,9.25,5.92,12.53,12.53,-7.83,20.36,0
4.25,-18,3,0.66,18.6,2.24,0.01993603,-0.356758623,-0.664213281,-0.80994439,-0.967433577,92.96,50.27,55.92,25.57,-2.16,3.89,-7.67,0.03,-7.67,7.7,-5.16,5.02,11.45,11.45,-1.07,12.52,0
-1.45,-7.43,0,0.49,6.55,3.15,0.020718285,-0.352972541,-0.654035114,-0.851049244,-0.906958144,90.44,53.14,54.57,23.29,-0.92,3.63,-6.48,0.12,-6.48,6.6,-0.35,4.52,10.86,10.86,-2.71,13.57,0
-1.96,9.14,0,0.28,8.07,3.74,0.00466231,-0.354260677,-0.66858277,-0.857734005,-0.898346659,92.22,58.32,62.71,23.67,-3.17,4.46,8.71,8.71,-6.46,15.17,5.82,4.33,10.31,10.31,-5.11,15.42,0
23.64,-6,-3,0.02,29.36,2.8,0.010980493,-0.364681566,-0.588123843,-0.718038152,-0.896955604,61.12,42.73,61.41,60.03,37.56,4.46,11.76,11.76,-0.64,12.39,1.2,3.02,4.36,4.36,-1.21,5.57,0
-2.03,6,-3,5.17,29.45,4.66,0.011419069,-0.325299335,-0.5772949,-0.721396896,-0.897228381,44.48,53.18,62.32,64.39,37.81,3.44,8.96,8.96,-1.78,10.74,3.92,2.06,3.05,3.05,-2.88,5.93,0
